Dx	Dy	Vw	C0	A	Rt
1	0.1	3	10000	10	1
0.153279847	0.059709819	2	10872	10	0.20143834
0.098478865	0.737667519	5	10233	12	0.632422682
0.313545539	0.358045937	2	8528	10	0.652801306
0.172093078	0.740476753	1	11914	10	0.466504239
0.833593282	0.322889832	1	11617	12	0.49463121
0.676212231	0.785710178	2	11883	9	0.914940967
0.286950686	0.57408796	4	9912	12	0.221192617
0.897275781	0.125994844	1	9582	9	0.37328066
0.626087044	0.145391675	2	10953	10	0.711276336
0.329926296	0.75132795	5	11401	9	0.59388707
0.138849836	0.804024641	3	9763	9	0.589671503
0.813382688	0.174450261	2	9751	11	0.687697756
0.811170983	0.472264932	5	11208	11	0.665973763
0.566930438	0.157756977	2	11411	11	0.685743515
0.221398423	0.388493914	5	11727	8	0.15148413
0.817397942	0.401086167	3	9109	10	0.974103304
0.735450059	0.014847545	3	11766	9	0.034075562
0.245806628	0.055777658	3	8301	10	0.115590782
0.833805685	0.528816852	2	10110	11	0.36259731
0.391968854	0.640695381	3	8099	12	0.752895516
0.962999745	0.283699048	1	8557	10	0.267911487
0.481927972	0.854445787	1	11696	12	0.098198659
0.603751642	0.228739172	3	11964	10	0.533658307
0.745956433	0.380177013	5	9673	11	0.573559756
0.862522211	0.483236696	3	8723	12	0.947979504
0.420307993	0.551118831	1	9723	10	0.434891349
0.445790317	0.423036457	1	8205	11	0.264612349
0.203120072	0.102809668	2	11934	9	0.81918845
0.419791784	0.884009331	4	11578	11	0.242539525
0.92683684	0.731729839	4	11090	11	0.658712278
0.102323886	0.457435642	5	11315	10	0.749358214
0.345422199	0.182788904	1	10410	10	0.125810071
0.306595089	0.367424884	5	10963	8	0.446237646
0.330463984	0.211326093	2	8993	12	0.370268415
0.285159451	0.954501998	4	10485	12	0.132637915
0.680952229	0.046761927	4	9367	10	0.74853295
0.992697313	0.301975	1	9918	10	0.511080515
0.571965417	0.7202316	5	8838	11	0.818947226
0.980685771	0.684204122	1	9243	11	0.193940094
0.015663294	0.914515531	3	8292	8	0.956253667
0.34252139	0.255155189	2	9266	12	0.149682047
0.603117485	0.041364844	1	8957	10	0.726326124
0.413349634	0.185869238	4	8277	9	0.824402248
0.869958039	0.175204072	5	8650	9	0.767782161
0.536670014	0.178620118	2	10738	12	0.86494061
0.296337798	0.345331815	2	8596	8	0.62261194
0.944211279	0.539749678	4	10563	11	0.961855735
0.027242595	0.779913785	3	11056	8	0.305932834
0.015414913	0.321372638	3	9770	12	0.996182749
0.651090618	0.790980273	1	11066	11	0.372227882
0.957977717	0.609775898	5	9040	11	0.814532223
0.670414092	0.014824318	3	10673	11	0.846245809
0.792826269	0.098329747	2	11554	9	0.844368796
0.539817295	0.511152958	5	11168	8	0.407975541
0.072208022	0.847775111	4	11406	8	0.147411857
0.862512185	0.852334663	2	10235	8	0.984527645
0.683953589	0.080696707	1	10793	12	0.116472513
0.608773741	0.886814218	1	10537	11	0.834081755
0.710571424	0.420704204	4	9440	10	0.969969716
0.296821525	0.060903432	2	10853	8	0.029147662
0.236187888	0.85494051	5	10921	9	0.737739694
0.365070209	0.387673152	5	8645	9	0.216613847
0.449314072	0.351267536	1	9204	11	0.773421833
0.039642602	0.380108173	4	8556	11	0.214766399
0.375248736	0.772119885	5	9008	11	0.053300929
0.768095742	0.840427973	4	9627	12	0.533314398
0.478374784	0.673018622	2	11031	8	0.130942554
0.116179984	0.312787575	1	11945	8	0.881170689
0.799560254	0.83756585	5	10286	8	0.103033174
0.704142753	0.24082202	1	10672	8	0.602828274
0.435084965	0.425303512	2	11558	8	0.209733087
0.786717267	0.041082076	5	9444	8	0.49758486
0.101909624	0.768281159	1	9831	8	0.919673368
0.435305092	0.892167985	5	8872	9	0.938125441
0.337344398	0.80602261	5	10289	12	0.912948188
0.749701834	0.052358863	4	9683	9	0.09153529
0.891211354	0.731450945	4	9987	12	0.790676899
0.027001214	0.085883556	4	9117	10	0.768277081
0.535753966	0.856800833	1	10089	9	0.207015525
0.325909741	0.734358854	1	11230	10	0.332922637
0.270896938	0.861529116	1	8704	10	0.187368849
0.993151494	0.359082113	5	10330	9	0.41486552
0.165693798	0.985788255	1	8147	12	0.05515133
0.872913643	0.898535461	4	11145	11	0.746198252
0.318232255	0.680327415	5	11914	10	0.134942682
0.599098412	0.172571989	5	8423	11	0.619021933
0.734197243	0.230905737	1	8707	11	0.027127166
0.676094396	0.256591231	5	9006	9	0.980467083
0.504179305	0.736300232	1	9607	8	0.16279769
0.614380422	0.58222388	4	11338	12	0.175330751
0.024134333	0.195531313	2	8206	8	0.022090545
0.832298274	0.232919476	1	10016	10	0.249512638
0.80369101	0.644246415	1	11241	8	0.086015932
0.162823834	0.61112737	1	10669	9	0.357000551
0.350721429	0.101911989	4	10790	10	0.677241998
0.242304644	0.685217048	4	8560	12	0.312290992
0.276341757	0.645268627	4	10629	10	0.496976258
0.265744367	0.004740562	2	9091	8	0.804952645
0.230854519	0.536783888	3	10184	11	0.407011652
0.046879033	0.124753425	5	8812	11	0.416855661
0.174872303	0.630461416	4	10399	12	0.588764155
0.080573363	0.61817798	2	11383	12	0.684253166
0.794519289	0.78568355	4	10611	9	0.428739791
0.773978511	0.156086492	4	9003	9	0.738924326
0.919022971	0.452660545	1	9976	10	0.363325373
0.727232613	0.734319602	1	10178	8	0.896578782
0.747722767	0.057943186	5	10386	9	0.831426667
0.436138282	0.098023115	1	9676	10	0.265665937
0.160786033	0.075606233	1	11283	12	0.009097516
0.151841378	0.02448783	5	9886	9	0.833023909
0.424524313	0.691735384	5	10395	8	0.247787263
0.034203299	0.219004837	3	10717	8	0.636228409
0.367725717	0.820978457	3	10358	11	0.212028522
0.796120427	0.858126478	5	8240	8	0.153283388
0.82379683	0.980015746	4	9999	8	0.636466638
0.765595706	0.980264381	3	10363	10	0.533725115
0.040189807	0.952421749	1	11897	11	0.999710477
0.207703479	0.097532497	2	10747	9	0.411906511
0.031245916	0.886037191	4	9875	12	0.130317489
0.066755506	0.526772282	1	9569	8	0.72569809
0.780313859	0.808116696	5	8051	8	0.657099895
0.176034076	0.258259681	4	9398	10	0.139610309
0.073572663	0.490303554	3	9096	9	0.982896022
0.536587791	0.891957317	1	10047	8	0.095451507
0.029238824	0.899131828	5	9438	12	0.791959984
0.901739886	0.976253081	5	10908	8	0.39462319
0.002080712	0.872327867	5	10553	8	0.195550173
0.858092129	0.773594267	2	8205	10	0.363785184
