epoch,aux_output_loss,aux_output_mean_absolute_error,loss,main_output_loss,main_output_mean_absolute_error,val_aux_output_loss,val_aux_output_mean_absolute_error,val_loss,val_main_output_loss,val_main_output_mean_absolute_error
0,11066867043.555555,17971.136827256945,22133730446.22222,11066863772.444445,17971.404296875,7204853760.0,18692.998046875,14409704448.0,7204850688.0,18693.248046875
1,11066859861.333334,17970.928819444445,22133716053.333332,11066856163.555555,17971.168077256945,7204849152.0,18692.8359375,14409693184.0,7204843520.0,18693.060546875
2,11066853496.88889,17970.780815972223,22133703992.88889,11066850318.222221,17970.997233072918,7204843520.0,18692.7109375,14409681920.0,7204838400.0,18692.919921875
3,11066851000.88889,17970.6630859375,22133697962.666668,11066846321.777779,17970.863715277777,7204838912.0,18692.60546875,14409672704.0,7204834304.0,18692.80078125
4,11066847644.444445,17970.568793402777,22133688519.11111,11066841358.222221,17970.75564236111,7204836352.0,18692.51171875,14409665536.0,7204829184.0,18692.693359375
5,11066844167.11111,17970.478407118055,22133682432.0,11066837717.333334,17970.6513671875,7204832768.0,18692.4296875,14409658368.0,7204826112.0,18692.595703125
6,11066840391.11111,17970.396375868055,22133674808.88889,11066834190.222221,17970.55881076389,7204829696.0,18692.34765625,14409652224.0,7204822528.0,18692.505859375
7,11066838570.666666,17970.325520833332,22133669404.444443,11066831431.11111,17970.47732204861,7204827136.0,18692.275390625,14409647104.0,7204819968.0,18692.42578125
8,11066836010.666666,17970.25075954861,22133664938.666668,11066828394.666666,17970.391059027777,7204825088.0,18692.20703125,14409641984.0,7204816384.0,18692.345703125
9,11066834190.222221,17970.18630642361,22133659548.444443,11066825173.333334,17970.318359375,7204822016.0,18692.14453125,14409635840.0,7204814336.0,18692.271484375
10,11066831786.666666,17970.121527777777,22133654912.0,11066823100.444445,17970.244791666668,7204819968.0,18692.083984375,14409630720.0,7204810752.0,18692.201171875
11,11066828444.444445,17970.066948784723,22133648952.88889,11066820152.88889,17970.181749131945,7204816896.0,18692.025390625,14409626624.0,7204809728.0,18692.1328125
12,11066827349.333334,17970.003038194445,22133644970.666668,11066818332.444445,17970.109483506945,7204814848.0,18691.970703125,14409621504.0,7204806144.0,18692.0703125
13,11066825287.11111,17969.94997829861,22133641272.88889,11066815900.444445,17970.048719618055,7204814336.0,18691.9140625,14409619456.0,7204804608.0,18692.0078125
14,11066823381.333334,17969.897352430555,22133636664.88889,11066813496.88889,17969.987738715277,7204811776.0,18691.86328125,14409613312.0,7204801024.0,18691.947265625
15,11066821223.11111,17969.846082899305,22133633749.333332,11066812131.555555,17969.930067274305,7204809728.0,18691.8125,14409609216.0,7204798976.0,18691.890625
16,11066819448.88889,17969.794813368055,22133628942.22222,11066809109.333334,17969.871636284723,7204807680.0,18691.76171875,14409603072.0,7204795904.0,18691.8359375
17,11066818147.555555,17969.74826388889,22133625941.333332,11066807651.555555,17969.817925347223,7204806144.0,18691.71484375,14409601024.0,7204794368.0,18691.78125
18,11066816056.88889,17969.700629340277,22133620992.0,11066805141.333334,17969.7626953125,7204804608.0,18691.669921875,14409596928.0,7204792320.0,18691.73046875
19,11066814172.444445,17969.656575520832,22133617265.77778,11066803072.0,17969.71267361111,7204802560.0,18691.625,14409594880.0,7204791808.0,18691.6796875
20,11066813184.0,17969.61013454861,22133614620.444443,11066801827.555555,17969.659830729168,7204801024.0,18691.58203125,14409590784.0,7204789248.0,18691.630859375
21,11066812170.666666,17969.566731770832,22133612622.22222,11066800572.444445,17969.611328125,7204798976.0,18691.537109375,14409586688.0,7204787200.0,18691.578125
22,11066809856.0,17969.52468532986,22133608988.444443,11066799267.555555,17969.562337239582,7204795904.0,18691.49609375,14409580544.0,7204785152.0,18691.529296875
23,11066808455.11111,17969.483072916668,22133604579.555557,11066796657.777779,17969.514214409723,7204795904.0,18691.455078125,14409580544.0,7204784640.0,18691.484375
24,11066806613.333334,17969.442274305555,22133601678.22222,11066794894.222221,17969.467122395832,7204793856.0,18691.4140625,14409576448.0,7204782592.0,18691.439453125
25,11066804750.222221,17969.402886284723,22133597781.333332,11066793002.666666,17969.423177083332,7204791808.0,18691.375,14409572352.0,7204780544.0,18691.392578125
26,11066803861.333334,17969.363606770832,22133595946.666668,11066791786.666666,17969.377821180555,7204791808.0,18691.3359375,14409572352.0,7204780032.0,18691.34765625
27,11066802346.666666,17969.32595486111,22133592519.11111,11066790343.11111,17969.334635416668,7204789248.0,18691.30078125,14409567232.0,7204777984.0,18691.3046875
28,11066801095.11111,17969.288194444445,22133590584.88889,11066789418.666666,17969.292100694445,7204788736.0,18691.259765625,14409566208.0,7204776960.0,18691.26171875
29,11066799672.88889,17969.2529296875,22133587683.555557,11066787825.777779,17969.251844618055,7204787200.0,18691.22265625,14409562112.0,7204775424.0,18691.220703125
30,11066798279.11111,17969.21484375,22133583815.11111,11066785735.11111,17969.207465277777,7204786688.0,18691.189453125,14409560064.0,7204773376.0,18691.1796875
31,11066796629.333334,17969.176432291668,22133581255.11111,11066784312.88889,17969.164930555555,7204784640.0,18691.15234375,14409556992.0,7204772352.0,18691.138671875
32,11066795804.444445,17969.143446180555,22133578353.77778,11066782606.222221,17969.12619357639,7204784128.0,18691.119140625,14409554944.0,7204770816.0,18691.099609375
33,11066794666.666666,17969.10818142361,22133575623.11111,11066781482.666666,17969.086046006945,7204782592.0,18691.083984375,14409550848.0,7204768256.0,18691.060546875
34,11066792903.11111,17969.078450520832,22133571925.333332,11066779107.555555,17969.0517578125,7204780544.0,18691.05078125,14409548800.0,7204768256.0,18691.021484375
35,11066792014.222221,17969.040364583332,22133569536.0,11066777884.444445,17969.00954861111,7204779520.0,18691.015625,14409545728.0,7204766208.0,18690.982421875
36,11066791239.11111,17969.007378472223,22133567032.88889,11066776177.777779,17968.97243923611,7204779008.0,18690.984375,14409544704.0,7204765696.0,18690.943359375
37,11066789511.11111,17968.978190104168,22133565610.666668,11066776341.333334,17968.936957465277,7204777472.0,18690.94921875,14409541632.0,7204764160.0,18690.908203125
38,11066788494.222221,17968.944227430555,22133563221.333332,11066774556.444445,17968.897786458332,7204776960.0,18690.919921875,14409539584.0,7204762624.0,18690.87109375
39,11066786986.666666,17968.909722222223,22133559694.22222,11066772586.666666,17968.859483506945,7204775424.0,18690.88671875,14409536512.0,7204761088.0,18690.8359375
40,11066786666.666666,17968.879340277777,22133558670.22222,11066771982.222221,17968.824761284723,7204773376.0,18690.857421875,14409533440.0,7204759552.0,18690.80078125
