epoch,loss,mean_absolute_error,val_loss,val_mean_absolute_error
0,11066863800.88889,17971.300238715277,7204754432.0,18691.458984375
1,11066842944.0,17971.003255208332,7204669440.0,18689.63671875
2,11066821767.11111,17970.667317708332,7204578816.0,18687.58203125
3,11066799722.666666,17970.3291015625,7204499456.0,18685.75
4,11066775466.666666,17969.9775390625,7204442624.0,18684.52734375
5,11066751203.555555,17969.615234375,7204342784.0,18682.328125
6,11066726144.0,17969.212782118055,7204276736.0,18680.857421875
7,11066701340.444445,17968.843641493055,7204222464.0,18679.666015625
8,11066675200.0,17968.448567708332,7204165632.0,18678.4609375
9,11066650353.777779,17968.069661458332,7204102656.0,18677.1171875
10,11066623616.0,17967.678819444445,7204037120.0,18675.689453125
11,11066597276.444445,17967.2734375,7203976192.0,18674.451171875
12,11066571761.777779,17966.87717013889,7203899904.0,18672.810546875
13,11066544611.555555,17966.490559895832,7203829760.0,18671.318359375
14,11066519921.777779,17966.08474392361,7203768320.0,18669.974609375
15,11066494144.0,17965.6962890625,7203707904.0,18668.73046875
16,11066468451.555555,17965.306315104168,7203665408.0,18667.9140625
17,11066438385.777779,17964.883680555555,7203601920.0,18666.546875
18,11066410837.333334,17964.463433159723,7203539456.0,18665.26171875
19,11066386154.666666,17964.094292534723,7203480576.0,18664.0859375
20,11066355171.555555,17963.656684027777,7203419136.0,18662.875
21,11066333582.222221,17963.277777777777,7203369984.0,18661.875
22,11066302378.666666,17962.848090277777,7203343360.0,18661.498046875
23,11066275783.11111,17962.462782118055,7203311616.0,18661.005859375
24,11066247637.333334,17962.073676215277,7203270144.0,18660.212890625
25,11066223907.555555,17961.692491319445,7203217920.0,18659.11328125
26,11066197646.222221,17961.252278645832,7203148800.0,18657.673828125
27,11066177322.666666,17960.857530381945,7203094016.0,18656.533203125
28,11066150570.666666,17960.455729166668,7203047936.0,18655.61328125
29,11066117617.777779,17960.0703125,7203022336.0,18655.224609375
30,11066092643.555555,17959.685112847223,7202973696.0,18654.28125
31,11066065322.666666,17959.278862847223,7202944000.0,18653.796875
32,11066048739.555555,17958.88671875,7202921472.0,18653.494140625
33,11066009187.555555,17958.476888020832,7202891776.0,18653.0390625
34,11065982720.0,17958.07150607639,7202857472.0,18652.4453125
35,11065958456.88889,17957.6640625,7202834944.0,18652.208984375
36,11065930040.88889,17957.25509982639,7202789376.0,18651.3515625
37,11065904856.88889,17956.825520833332,7202770944.0,18651.205078125
38,11065879061.333334,17956.46728515625,7202748416.0,18650.919921875
39,11065852999.11111,17956.049370659723,7202729472.0,18650.7578125
40,11065823061.333334,17955.65842013889,7202704384.0,18650.400390625
41,11065795470.222221,17955.259440104168,7202677760.0,18650.052734375
42,11065773027.555555,17954.872504340277,7202647552.0,18649.541015625
43,11065742577.777779,17954.458550347223,7202607616.0,18648.8125
44,11065719011.555555,17954.06271701389,7202590720.0,18648.654296875
45,11065692280.88889,17953.64111328125,7202570240.0,18648.45703125
46,11065669347.555555,17953.235677083332,7202548736.0,18648.171875
47,11065637603.555555,17952.839409722223,7202518016.0,18647.66796875
48,11065622072.88889,17952.426432291668,7202489856.0,18647.244140625
49,11065586375.11111,17952.030598958332,7202473984.0,18647.140625
